Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1;0.0945772022183091;0.107493583586801;0.0598297540678051;0.000922963022122834;0.00346568835098336;0.26988;0.05822;0;0;41356;2696.96;6252;0;106.2;0;6252;106.2;35104;2590.76
2;0.0803816611006538;0.105871670817791;0.0611296532500462;0.00169568684609855;0.00238550215291516;0.28913;0.08229;0;0;41259;2713.93;6246;0;119.3;0;6246;119.3;35013;2594.63
3;0.0681370991964701;0.102441473629842;0.0605581486742901;0.00319752695471608;0.00152788083323636;0.30957;0.10833;0;0;41862;2682.41;6247;1;151.4;0.49;6248;151.89;35614;2530.52
4;0.0584823263909972;0.0942058510186514;0.0628234326062499;0.00541769267630381;0.000965105318282323;0.32552;0.13715;0;0.00815372335798173;44545;2835.55;6046;290;202.8;11.32;6336;214.12;38209;2621.43
5;0.0475748043799462;0.0743408903299857;0.0554030389736873;0.00668526595319863;0.00100890841382521;0.34346;0.16434;0.0191093418359993;0.0304933405828621;52139;3341.79;5343;1924;207.2;41.99;7267;249.19;44872;3092.6
6;0.0222160548100472;0.0384915822094692;0.0444558200594429;0.00514332960626148;0.000925535901315024;0.36493;0.18157;0.0434209573254648;0.0709574989125707;58270;3963.2;3756;5630;172.7;109.86;9386;282.56;48884;3680.64
7;0.0180792375574311;0.0252578372453372;0.0542887859553675;0.00781327689481671;0.00126458629116723;0.39193;0.19817;0.186534990455718;0.241758381905176;62644;4314.82;2805;10802;135.1;209.17;13607;344.27;49037;3970.55
8;0.0313515586860161;0.0381663039311334;0.071838741054187;0.0138552208290073;0.00279321075293844;0.42821;0.22855;0.361455003596025;0.418318403653762;64070;4389.71;2797;15858;132.4;308.44;18655;440.84;45415;3948.87
9;0.0451809769870666;0.0509250747776184;0.0857294832837976;0.0185484378244549;0.00519623065285698;0.47644;0.27177;0.47765628441008;0.55706366246194;66572;4483.87;3052;20000;161.1;382.7;23052;543.8;43520;3940.07
10;0.050397346125043;0.0549438506743185;0.0940914596409921;0.0222764383835157;0.00721808565111137;0.51901;0.31271;0.5607638937157;0.657863553719008;68085;4459.06;3790;22772;225.1;435.05;26562;660.15;41523;3798.91
11;0.0463042558746736;0.0589224277761837;0.101239501788323;0.0277669487261401;0.00907863377167462;0.55022;0.33963;0.61301841472007;0.731896446280992;67468;4397.1;4617;24340;244.9;464.07;28957;708.97;38511;3688.13
12;0.0369900151800352;0.0611502121090387;0.110974051718637;0.0363469335516333;0.012948139183056;0.57257;0.36724;0.631973233576263;0.761678882122662;67159;4428.94;5146;24619;271.5;477.72;29765;749.22;37394;3679.72
13;0.0272685475742304;0.0581609053658537;0.122916286669018;0.0457866284641802;0.0192693087396718;0.59153;0.39568;0.626796713752765;0.754081718138321;65935;4305.91;5256;23750;374.3;469.91;29006;844.21;36929;3461.7
14;0.0204241998097436;0.0545955806025825;0.135414796937182;0.0550451182014216;0.026097649249389;0.6068;0.4218;0.581547234499596;0.697984384515006;64792;4080.31;5441;21720;538.9;436.44;27161;975.34;37631;3104.97
15;0.0151990883882851;0.0527874285222382;0.148091117458398;0.0637919279610255;0.0330110706388921;0.61524;0.44813;0.507247435042914;0.607523775554589;62899;3931.12;5693;18378;748.5;378.97;24071;1127.47;38828;2803.65
16;0.012262936628413;0.0592399411190818;0.163169286282807;0.073139786358917;0.0413823286395904;0.6227;0.47888;0.405674329650487;0.490421752936059;62505;3985.91;6121;13872;858.8;295.79;19993;1154.59;42512;2831.32
17;0.0111910350760014;0.0661789890387375;0.174750102228267;0.0773448825972366;0.0465020842546259;0.62743;0.51006;0.259006267984697;0.325727899086559;62019;3865.27;6504;8565;984.7;194.54;15069;1179.24;46950;2686.03
18;0.0134980427874593;0.0824867949497848;0.186090057797256;0.0829161145275936;0.0497542383335273;0.63608;0.54452;0.0924304957539104;0.143815145715528;61198;3668.35;6808;3949;1051;97.06;10757;1148.06;50441;2520.29
19;0.0234369079280264;0.12974365784792;0.230410453008245;0.10657731451162;0.0689447282671942;0.65018;0.58822;0.0259341067774276;0.0303730643758156;58780;3616.24;7334;1242;1082.7;34.09;8576;1116.79;50204;2499.45
20;0.0572981935758091;0.204598738593974;0.287725903077931;0.141567515773501;0.102197332712673;0.66367;0.63109;0.00489322769385427;0.014930761200522;56040;3486.67;9342;115;1166.2;7.39;9457;1173.59;46583;2313.08
21;0.0973409824518793;0.248641516786227;0.323510154920827;0.173634558341985;0.140883382986151;0.67171;0.65567;0;0;54516;3358.24;11587;0;1333.6;0.23;11587;1333.83;42929;2024.41
22;0.118622708725484;0.271088645050215;0.339010422883818;0.190835273141123;0.167199011986501;0.67663;0.66516;0;0;51050;3165.88;12839;0;1503;0;12839;1503;38211;1662.88
23;0.131907736353148;0.269162450157819;0.343474918207311;0.201431677182334;0.189816085185616;0.67921;0.6731;0;0;47445;2903.02;13061;0;1541.2;0;13061;1541.2;34384;1361.82
