Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1;0.00829710061327342;0.0693628275466284;0.314134440716673;0.345363217394777;0.352988828115908;0.70543;0.77923;0;0;40665;3210.98;8814;0;2464.5;0;8814;2464.5;31851;746.48
2;0.00779295403485336;0.0746958356384505;0.316146468456669;0.337727894337513;0.359436518096125;0.70618;0.78028;0;0;39510;3100.02;9054;0;2351.7;0;9054;2351.7;30456;748.32
3;0.0069827987936932;0.0869202178479197;0.323969919466694;0.348409601469531;0.389868833934598;0.70727;0.77925;0;0;38537;2980.39;9070;0;2381;0;9070;2381;29467;599.39
4;0.00611832938652418;0.0955516423529412;0.329643916477759;0.367250416899609;0.420990626091004;0.70521;0.77977;0;0;38153;2933.49;9164;0;2625.6;0.01;9164;2625.61;28989;307.88
5;0.00538625518651203;0.104108315064562;0.336266850234245;0.379602023800016;0.435315795414873;0.70221;0.78446;0;0;37927;2941.54;9232;0;3134.2;0.01;9232;3134.21;28695;-192.670000000001
6;0.00615415507923978;0.110842055208034;0.336837392473931;0.38273500479195;0.446637705108809;0.70051;0.78542;0;0;37921;2999.89;9688;0;3311.2;0.01;9688;3311.21;28233;-311.32
7;0.00851558200255024;0.125572100200861;0.341130725639346;0.38985443734526;0.46014223321308;0.70111;0.78375;0;0;39143;3176.8;10331;0;3555.9;0.01;10331;3555.91;28812;-379.11
8;0.0126101586819681;0.145609356671449;0.347119380249526;0.408628911029471;0.477960324682881;0.70271;0.78379;0.00352827470556861;0;39891;3292.27;10208;53;3759.2;0.03;10261;3759.23;29630;-466.96
9;0.0156990531706034;0.171176965624103;0.357945029133713;0.41896293706573;0.480192791807285;0.70434;0.78474;0.0388110217612547;0.0358868682035668;41618;3378.64;10029;773;3907.1;1.5;10802;3908.6;30816;-529.96
10;0.0137752099904872;0.202744777274032;0.379264536496902;0.43205446489897;0.486216971953916;0.70805;0.78653;0.12284576894571;0.00963047846889952;43858;3562.9;10550;2116;3933.6;6.18;12666;3939.78;31192;-376.88
11;0.0155662365656688;0.251648526140603;0.402292964384666;0.437768064451721;0.484366266728733;0.71127;0.78579;0.173168752702506;0.0268500260983036;46208;3736.05;11390;3364;3968.5;8.42;14754;3976.92;31454;-240.87
12;0.0204494917724209;0.30532681492109;0.421463325071785;0.449554592284961;0.486130553939253;0.71315;0.78653;0.192741663477923;0.0167067855589387;47556;3837.81;12103;4198;3937.5;8.23;16301;3945.73;31255;-107.92
13;0.0285787811443723;0.352981457905308;0.435768167514651;0.452826336554588;0.483682966367974;0.714;0.78585;0.197403106702068;0.0162071422357547;46674;3878.28;12505;3500;3892.4;6.17;16005;3898.57;30669;-20.29
14;0.0357512761349606;0.391630851994261;0.464336022400215;0.460753788036099;0.491540670313045;0.71395;0.78656;0.148960152532911;0.0163174989125707;45923;3856.4;11921;2279;3647.7;2.2;14200;3649.9;31723;206.5
15;0.0458190493249944;0.430534356269727;0.502779639715883;0.468813211804169;0.501690699406494;0.71436;0.78828;0.0607790387236636;0.00391975859069161;46347;3985.15;11851;746;3582.8;0.19;12597;3582.99;33750;402.16
16;0.0557571696318335;0.476480593859397;0.530921199570131;0.478325986342944;0.512933293378331;0.71481;0.79021;0.00509925833359551;0;48230;4262.07;13582;50;3692.6;0.01;13632;3692.61;34598;569.46
17;0.0815642508146619;0.529463376183644;0.561262768727016;0.492879618241355;0.528446132898871;0.71514;0.79209;0;0;51634;4495.76;15436;0;3892.4;0.01;15436;3892.41;36198;603.35
18;0.114181651790232;0.593844940487805;0.605411473242322;0.509262127625589;0.544562129640405;0.71618;0.79423;0;0;51307;4491.8;16868;0;4106.5;0.01;16868;4106.51;34439;385.29
19;0.157338976258425;0.671332430645624;0.656763674844256;0.522606291031068;0.553241268474339;0.71636;0.79429;0;0;50138;4290.82;18008;0;4287;0.01;18008;4287.01;32130;3.80999999999949
20;0.200482346631044;0.746649617446198;0.70635947283932;0.534004214519607;0.557873309670662;0.71634;0.79416;0;0;47092;4047.51;19181;0;4392.4;0;19181;4392.4;27911;-344.889999999999
21;0.243083628838019;0.741925348866571;0.749634307255722;0.543332516971488;0.562080725008728;0.71615;0.79427;0;0;45182;3857.01;20352;0;4438;0;20352;4438;24830;-580.99
22;0.302460355415225;0.783164956441894;0.787788585999026;0.549490094641003;0.562160534155708;0.71613;0.79428;0;0;49365;3588.33;21236;0;4456.1;0;21236;4456.1;28129;-867.77
23;0.35470093974538;0.814829834490674;0.815799220324753;0.548962977797301;0.55589372047015;0.71613;0.79428;0;0;46468;3412.59;22083;0;4413.1;0;22083;4413.1;24385;-1000.51
24;0.398438812718845;0.837276974117647;0.836031476298423;0.547513016532226;0.546555816362155;0.65353;0.78587;0;0;43254;3212.1;22472;0;3984.3;0;22472;3984.3;20782;-772.2
25;0.445326540368774;0.825886821463415;0.84848682155391;0.54746104304768;0.5440058361457;0.62237;0.65753;0;0;41608;2996.22;23434;0;3317.3;0;23434;3317.3;18174;-321.08
26;0.50411011233226;0.830765966944046;0.857976983863113;0.545722444293587;0.538332335622018;0.67866;0.64968;0;0;40839;2942.88;24248;0;3297.4;0;24248;3297.4;16591;-354.52
27;0.564689489141215;0.835252602926829;0.863495902742095;0.545495161728296;0.540952624229024;0.71613;0.71191;0;0;40577;2944.18;25034;0;3282.2;0;25034;3282.2;15543;-338.02
28;0.631257360900277;0.844848338593974;0.868810841972697;0.545730426084179;0.549998502269289;0.71613;0.79428;0;0;41364;3019.46;25721;0;3253.6;0.01;25721;3253.61;15643;-234.15
29;0.708792903434736;0.854803728550932;0.872036631571877;0.54868473005351;0.559022315838473;0.71613;0.79428;0;0;43445;3104.17;26172;0;3529.3;0.01;26172;3529.31;17273;-425.14
30;0.792974841014431;0.862864979167862;0.875386685036858;0.548754234885393;0.562449511230071;0.71613;0.79428;0;0;46679;3523.94;26355;0;4355.1;0.01;26355;4355.11;20324;-831.170000000001
31;0.877505771246989;0.870390547374462;0.877792043389921;0.548974607858797;0.562677587571279;0.71613;0.79428;0;0;51275;3868.58;26193;0;4407.8;0.01;26193;4407.81;25082;-539.23
32;0.90776167668549;0.874433590014347;0.879354916830386;0.551227785320661;0.562391792156406;0.71613;0.79428;0.00350252087560095;0;55305;4190.57;26590;38;4411.5;0.06;26628;4411.56;28677;-220.990000000001
33;0.907226979577793;0.871589811994261;0.87711656225547;0.54917741993451;0.56237552193646;0.71613;0.79428;0.0207318331239615;0.0344931165724228;57513;4337.33;25934;253;4412;4.76;26187;4416.76;31326;-79.4300000000003
34;0.858668955411177;0.859914053601148;0.871836936980505;0.550810739557543;0.559575120446875;0.71613;0.79428;0.0411031126283759;0.0946526620269682;59351;4515.6;25642;667;4360;29.04;26309;4389.04;33042;126.56
35;0.826687855567025;0.86695132866571;0.864146995315097;0.550967572877566;0.55996965786105;0.71613;0.79428;0.0584354401966071;0.159126924749891;60451;4523.41;25811;1262;4333.3;70.3;27073;4403.6;33378;119.809999999999
36;0.758035940251381;0.813063317302726;0.853706725404262;0.550720909671751;0.559934004422204;0.71613;0.79428;0.083828716544714;0.169364140930839;60104;4474.24;25642;1726;4262.3;77.66;27368;4339.96;32736;134.28
37;0.686687046774748;0.77714209446198;0.840635696774302;0.55062786838112;0.562736495985104;0.71613;0.79428;0.0825152712163636;0.150560830795998;59568;4449.32;25795;1899;4271.9;68.74;27694;4340.64;31874;108.68
38;0.647197674013804;0.765795790071736;0.832346237569896;0.550952564890983;0.562284048644245;0.71613;0.79428;0.0793733039603098;0.103789486733362;58561;4396.41;25297;1352;4279.1;35.44;26649;4314.54;31912;81.8699999999999
39;0.614149861355678;0.758578347546628;0.829632078719796;0.55149349972047;0.562232124985453;0.71613;0.79428;0.0412833894381495;0.0354572248803828;58012;4429.72;24982;516;4225.5;6.91;25498;4232.41;32514;197.31
40;0.610895759305361;0.780648801147776;0.83788439198697;0.552157184330325;0.562202932619574;0.71613;0.79428;0.00607790387236636;0;59287;4741.13;24720;45;4229.3;0.08;24765;4229.38;34522;511.75
41;0.586543351751776;0.800228269956958;0.8448317730425;0.551909996805367;0.562898135691842;0.71613;0.79428;0;0;62208;5178.7;24301;0;4226.6;0.01;24301;4226.61;37907;952.089999999999
42;0.548789846985245;0.782144707144907;0.845087434654845;0.550791324175385;0.563060725008728;0.71613;0.79428;0;0;62007;5091.42;25010;0;4239.4;0.01;25010;4239.41;36997;852.01
