Timestep;Total_load;LFS;LFW;Load_res
1;10.108755;0;0.228470455;2115.03264
2;9.77162;0;0.231458864;1906.03392
3;9.35392;0;0.233897782;1707.97704
4;8.9798125;0;0.220636083;1485.89616
5;8.67585;0;0.267364387;1336.6248
6;8.531005;0;0.294353132;1270.73016
7;8.5334975;0;0.304417337;1347.34992
8;8.38965;0;0.282124116;1548.69288
9;8.50056;5.93E-05;0.261669327;1886.04192
10;8.7610525;0.015428681;0.282345952;2238.79656
11;9.1277125;0.059112938;0.27402711;2525.63808
12;9.4637675;0.103256084;0.261328924;2859.56328
13;9.7339425;0.10539898;0.261494664;2957.6988
14;9.7191975;0.073843971;0.296757628;2843.06736
15;9.53523;0.04949065;0.310081799;2740.5168
16;9.477875;0.021509391;0.272713944;2622.76392
17;9.526615;0.002319847;0.257445523;2665.40064
18;10.0389275;0;0.262985043;3119.99352
19;10.2443325;0;0.286625852;3302.17608
20;10.19417;0;0.237257192;3234.69048
21;9.9749;0;0.160333723;3075.49032
22;9.7358025;0;0.124481746;2822.11272
23;9.96842;0;0.085275459;2454.71856
24;10.0141875;0;0.13197444;1923.54792
25;9.550645;0;0.157063557;1686.92496
26;9.1602375;0;0.094708579;1421.66976
27;8.82932;0;0.102138803;1283.67288
28;8.59683;0;0.172572938;1185.37104
29;8.546285;0;0.198245968;1174.8072
30;8.7800575;0;0.200897798;1204.10472
31;9.3631375;0;0.210305419;1440.77808
32;9.697965;0;0.224360118;1824.9336
33;10.2720525;8.47E-07;0.265389539;2323.37448
34;10.701575;0.012809115;0.244501278;2574.74448
35;10.95351;0.057197793;0.232659837;2673.0732
36;11.199595;0.110105562;0.172423773;2867.78184
37;11.2659225;0.181048876;0.173897578;2837.88792
38;11.055615;0.197547735;0.228735638;2632.3836
39;10.8299325;0.12376811;0.178431187;2517.46824
40;10.84768;0.059529494;0.170642712;2554.56768
41;11.05596;0.00973066;0.218297882;2755.81992
42;11.823345;0;0.281369365;3388.53816
43;11.93087;0;0.287885472;3575.9724
44;11.58667;0;0.248494322;3428.20128
45;10.979085;0;0.22667027;3175.30416
46;10.5519625;0;0.174115589;2919.79968
47;10.80776;0;0.138987766;2648.33184
48;10.81322;0;0.118777762;2144.2848
49;10.27002;0;0.112115039;1715.55552
50;9.77725;0;0.129118624;1433.17104
51;9.4141625;0;0.153855863;1292.22072
52;9.18927;0;0.153506535;1184.54784
53;9.128215;0;0.159148048;1177.38936
54;9.46515;0;0.212522502;1207.96536
55;10.343565;0;0.212264969;1445.76096
56;10.99448;0;0.242795437;1815.46344
57;11.7607575;6.77E-06;0.301142072;2284.21032
58;11.99626;0.029738924;0.353890541;2499.4284
59;12.132875;0.10660801;0.33854435;2576.29512
60;12.3129425;0.193228077;0.387074114;2759.87712
61;12.067875;0.241207439;0.425287239;2746.15656
62;12.0538925;0.185107763;0.451669123;2540.3448
63;12.019375;0.075253659;0.46146177;2436.83664
64;12.130085;0.031157926;0.508919329;2496.0852
65;12.14696;0.004959733;0.560265387;2694.9888
66;12.7500725;0;0.579613547;3339.3108
67;12.661965;0;0.59602812;3528.47712
68;12.174555;0;0.600931455;3396.97512
69;11.59953;0;0.588619569;3150.75432
70;10.9865225;0;0.585702557;2900.23104
71;11.191095;0;0.618946051;2651.3508
72;11.0642675;0;0.593782989;2152.44456
73;10.4821175;0;0.599406653;1724.58888
74;10.03843;0;0.608593715;1437.43656
75;9.57653;0;0.590118874;1294.272
76;9.34746;0;0.602149002;1185.2484
77;9.216565;0;0.587511665;1177.86984
78;9.6133425;0;0.548151114;1207.65792
79;10.3748425;0;0.490710945;1442.21784
80;11.02174;0;0.531470083;1816.0128
81;11.7653175;1.69E-06;0.531383388;2308.56864
82;12.0699925;0.007888329;0.546104869;2519.31288
83;12.2888;0.040568549;0.572454881;2599.8
84;12.4496875;0.090976978;0.558360659;2799.64272
85;12.2873975;0.129759921;0.594124667;2840.94552
86;11.9788;0.146852288;0.589843491;2629.20672
87;11.833275;0.109381667;0.627190947;2513.88144
88;11.764635;0.056556025;0.63300075;2571.19464
89;11.8045;0.008731602;0.604878602;2721.06072
90;12.438195;0;0.566794244;3324.45456
91;12.63993;0;0.580073792;3503.60136
92;12.2126;0;0.563402961;3374.62608
93;11.6243325;0;0.551694111;3149.92776
94;11.1965125;0;0.520860213;2922.69768
95;11.424585;0;0.459252337;2665.40232
96;11.33671;0;0.413988913;2165.17896
97;10.81127;0;0.443748055;1735.55088
98;10.32612;0;0.436491221;1445.78448
99;9.905335;0;0.439491104;1301.09112
100;9.6596125;0;0.451611752;1190.85624
101;9.6064275;0;0.445068871;1182.90312
102;9.999535;0;0.447867317;1216.18224
103;10.72801;0;0.419219903;1455.04296
104;11.358795;0;0.36864517;1832.03832
105;12.048375;2.79E-05;0.335650285;2294.74392
106;12.3140025;0.035495364;0.20569659;2481.4524
107;12.2569575;0.117451182;0.167570159;2546.53896
108;12.405695;0.226092868;0.073560235;2731.596
109;12.24019;0.286628195;0.111573198;2737.00392
110;12.04805;0.261897263;0.087196761;2535.16872
111;11.88089;0.166024052;0.080727826;2420.71368
112;12.0734275;0.078978116;0.099550719;2477.39352
113;12.1831375;0.013105446;0.094430647;2655.78768
114;12.93818;0;0.11536863;3283.10304
115;13.0502175;0;0.13478691;3462.33384
116;12.582685;0;0.126034596;3334.76808
117;12.0750025;0;0.120101127;3115.24248
118;11.57415;0;0.118455207;2876.9916
119;11.881085;0;0.099089198;2644.8324
120;11.8714975;0;0.09673315;2165.43936
121;11.4071725;0;0.115522895;1736.31192
122;11.0029825;0;0.126540739;1448.5296
123;10.5934825;0;0.117927391;1302.78288
124;10.331135;0;0.104591746;1191.97344
125;10.3309525;0;0.08877511;1184.316
126;10.61116;0;0.0741008;1213.81512
127;11.370685;0;0.075323447;1443.45096
128;11.96174;0;0.078291457;1826.91768
129;12.68217;0.000284478;0.096566135;2315.54904
130;12.871485;0.039666856;0.096437368;2530.72176
131;12.78544;0.124015334;0.10358966;2589.9048
132;12.77618;0.236731995;0.113902474;2756.42808
133;12.5906725;0.297131009;0.115466799;2772.14112
134;12.3995925;0.287523114;0.105138686;2584.7052
135;12.1432475;0.197567208;0.090152021;2480.91816
136;12.2350975;0.09800002;0.101419749;2534.07168
137;12.284735;0.019321622;0.112614807;2674.2576
138;13.0398825;0;0.172849596;3251.40312
139;12.9446575;0;0.227821522;3403.87488
140;12.389855;0;0.2769148;3253.93824
141;11.9285925;0;0.341170681;3030.85608
142;11.308365;0;0.394190707;2804.676
143;11.6497275;0;0.39687441;2612.2404
144;11.7609375;0;0.39929803;2203.68456
145;11.2878625;0;0.430952976;1701.56616
146;10.7468875;0;0.441830579;1454.04672
147;10.2320525;0;0.433651978;1311.18288
148;9.984105;0;0.411945219;1192.44048
149;9.7097375;0;0.415893642;1167.04224
150;9.73729;0;0.408137039;1174.95336
151;9.984845;0;0.456309826;1323.45864
152;10.2482;0;0.456386321;1728.4176
153;10.88445;1.52E-05;0.426894911;2398.16808
