"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"10.04.2017 07:00 - 10.04.2017 07:15","10139","9686"
"10.04.2017 07:15 - 10.04.2017 07:30","10253","9875"
"10.04.2017 07:30 - 10.04.2017 07:45","10387","10044"
"10.04.2017 07:45 - 10.04.2017 08:00","10449","10206"
"10.04.2017 08:00 - 10.04.2017 08:15","10681","10347"
"10.04.2017 08:15 - 10.04.2017 08:30","10792","10473"
"10.04.2017 08:30 - 10.04.2017 08:45","10856","10678"
"10.04.2017 08:45 - 10.04.2017 09:00","10981","10856"
"10.04.2017 09:00 - 10.04.2017 09:15","11105","10935"
"10.04.2017 09:15 - 10.04.2017 09:30","11144","11036"
"10.04.2017 09:30 - 10.04.2017 09:45","11138","11106"
"10.04.2017 09:45 - 10.04.2017 10:00","11113","11036"
"10.04.2017 10:00 - 10.04.2017 10:15","11159","11153"
"10.04.2017 10:15 - 10.04.2017 10:30","11220","11135"
"10.04.2017 10:30 - 10.04.2017 10:45","11165","11179"
"10.04.2017 10:45 - 10.04.2017 11:00","11127","11279"
"10.04.2017 11:00 - 10.04.2017 11:15","11198","11319"
"10.04.2017 11:15 - 10.04.2017 11:30","11232","11351"
"10.04.2017 11:30 - 10.04.2017 11:45","11236","11391"
"10.04.2017 11:45 - 10.04.2017 12:00","11170","11551"
"10.04.2017 12:00 - 10.04.2017 12:15","11135","11362"
"10.04.2017 12:15 - 10.04.2017 12:30","10948","11316"
"10.04.2017 12:30 - 10.04.2017 12:45","10849","11311"
"10.04.2017 12:45 - 10.04.2017 13:00","10860","11270"
"10.04.2017 13:00 - 10.04.2017 13:15","10868","11350"
"10.04.2017 13:15 - 10.04.2017 13:30","10809","11160"
"10.04.2017 13:30 - 10.04.2017 13:45","10751","11190"
"10.04.2017 13:45 - 10.04.2017 14:00","10706","11061"
"10.04.2017 14:00 - 10.04.2017 14:15","10711","10869"
"10.04.2017 14:15 - 10.04.2017 14:30","10706","10895"
"10.04.2017 14:30 - 10.04.2017 14:45","10617","10746"
"10.04.2017 14:45 - 10.04.2017 15:00","10612","10657"
"10.04.2017 15:00 - 10.04.2017 15:15","10646","10621"
"10.04.2017 15:15 - 10.04.2017 15:30","10568","10616"
"10.04.2017 15:30 - 10.04.2017 15:45","10524","10655"
"10.04.2017 15:45 - 10.04.2017 16:00","10530","10594"
"10.04.2017 16:00 - 10.04.2017 16:15","10561","10460"
"10.04.2017 16:15 - 10.04.2017 16:30","10477","10415"
"10.04.2017 16:30 - 10.04.2017 16:45","10407","10443"
"10.04.2017 16:45 - 10.04.2017 17:00","10427","10384"
"10.04.2017 17:00 - 10.04.2017 17:15","10401","10449"
"10.04.2017 17:15 - 10.04.2017 17:30","10435","10430"
"10.04.2017 17:30 - 10.04.2017 17:45","10547","10530"
"10.04.2017 17:45 - 10.04.2017 18:00","10630","10607"
"10.04.2017 18:00 - 10.04.2017 18:15","10599","10543"
"10.04.2017 18:15 - 10.04.2017 18:30","10590","10472"
"10.04.2017 18:30 - 10.04.2017 18:45","10555","10538"
"10.04.2017 18:45 - 10.04.2017 19:00","10567","10352"
"10.04.2017 19:00 - 10.04.2017 19:15","10447","10360"
"10.04.2017 19:15 - 10.04.2017 19:30","10475","10177"
"10.04.2017 19:30 - 10.04.2017 19:45","10480","10166"
"10.04.2017 19:45 - 10.04.2017 20:00","10470","10172"
"10.04.2017 20:00 - 10.04.2017 20:15","10417","10247"
"10.04.2017 20:15 - 10.04.2017 20:30","10548","10151"
"10.04.2017 20:30 - 10.04.2017 20:45","10670","10303"
"10.04.2017 20:45 - 10.04.2017 21:00","10637","10435"
"10.04.2017 21:00 - 10.04.2017 21:15","10633","10481"
"10.04.2017 21:15 - 10.04.2017 21:30","10498","10351"
"10.04.2017 21:30 - 10.04.2017 21:45","10462","10193"
"10.04.2017 21:45 - 10.04.2017 22:00","10273","10074"
"10.04.2017 22:00 - 10.04.2017 22:15","10284","10189"
"10.04.2017 22:15 - 10.04.2017 22:30","10390","10340"
"10.04.2017 22:30 - 10.04.2017 22:45","10302","10261"
"10.04.2017 22:45 - 10.04.2017 23:00","10161","10303"
"10.04.2017 23:00 - 10.04.2017 23:15","10259","10292"
"10.04.2017 23:15 - 10.04.2017 23:30","10139","10159"
"10.04.2017 23:30 - 10.04.2017 23:45","9983","9958"
"10.04.2017 23:45 - 11.04.2017 00:00","9750","9780"
"11.04.2017 00:00 - 11.04.2017 00:15","9394","9636"
"11.04.2017 00:15 - 11.04.2017 00:30","9203","9420"
"11.04.2017 00:30 - 11.04.2017 00:45","9155","9239"
"11.04.2017 00:45 - 11.04.2017 01:00","9001","9223"
"11.04.2017 01:00 - 11.04.2017 01:15","8951","9047"
"11.04.2017 01:15 - 11.04.2017 01:30","8747","8882"
"11.04.2017 01:30 - 11.04.2017 01:45","8567","8762"
"11.04.2017 01:45 - 11.04.2017 02:00","8490","8724"
"11.04.2017 02:00 - 11.04.2017 02:15","8435","8635"
"11.04.2017 02:15 - 11.04.2017 02:30","8421","8619"
"11.04.2017 02:30 - 11.04.2017 02:45","8353","8620"
"11.04.2017 02:45 - 11.04.2017 03:00","8334","8626"
"11.04.2017 03:00 - 11.04.2017 03:15","8428","8595"
"11.04.2017 03:15 - 11.04.2017 03:30","8355","8534"
"11.04.2017 03:30 - 11.04.2017 03:45","8412","8479"
"11.04.2017 03:45 - 11.04.2017 04:00","8404","8583"
"11.04.2017 04:00 - 11.04.2017 04:15","8477","8596"
"11.04.2017 04:15 - 11.04.2017 04:30","8502","8693"
"11.04.2017 04:30 - 11.04.2017 04:45","8571","8684"
"11.04.2017 04:45 - 11.04.2017 05:00","8697","8648"
"11.04.2017 05:00 - 11.04.2017 05:15","8721","8951"
"11.04.2017 05:15 - 11.04.2017 05:30","8832","9053"
"11.04.2017 05:30 - 11.04.2017 05:45","9023","9225"
"11.04.2017 05:45 - 11.04.2017 06:00","9202","9413"
"11.04.2017 06:00 - 11.04.2017 06:15","9476","9720"
"11.04.2017 06:15 - 11.04.2017 06:30","9722","10018"
"11.04.2017 06:30 - 11.04.2017 06:45","10011","10219"
"11.04.2017 06:45 - 11.04.2017 07:00","10219","10244"
"11.04.2017 07:00 - 11.04.2017 07:15","10370","10294"
"11.04.2017 07:15 - 11.04.2017 07:30","10520","10537"
"11.04.2017 07:30 - 11.04.2017 07:45","10616","10717"
"11.04.2017 07:45 - 11.04.2017 08:00","10712","10807"
"11.04.2017 08:00 - 11.04.2017 08:15","10820","10890"
"11.04.2017 08:15 - 11.04.2017 08:30","10939","10948"
"11.04.2017 08:30 - 11.04.2017 08:45","11016","11110"
"11.04.2017 08:45 - 11.04.2017 09:00","11063","11144"
"11.04.2017 09:00 - 11.04.2017 09:15","11093","11166"
"11.04.2017 09:15 - 11.04.2017 09:30","11151","11211"
"11.04.2017 09:30 - 11.04.2017 09:45","11169","11302"
"11.04.2017 09:45 - 11.04.2017 10:00","11154","11334"
"11.04.2017 10:00 - 11.04.2017 10:15","11148","11312"
"11.04.2017 10:15 - 11.04.2017 10:30","11139","11252"
"11.04.2017 10:30 - 11.04.2017 10:45","11191","11348"
"11.04.2017 10:45 - 11.04.2017 11:00","11200","11317"
"11.04.2017 11:00 - 11.04.2017 11:15","11159","11463"
"11.04.2017 11:15 - 11.04.2017 11:30","11235","11356"
"11.04.2017 11:30 - 11.04.2017 11:45","11216","11483"
"11.04.2017 11:45 - 11.04.2017 12:00","11220","11399"
"11.04.2017 12:00 - 11.04.2017 12:15","11079","11148"
"11.04.2017 12:15 - 11.04.2017 12:30","10970","11051"
"11.04.2017 12:30 - 11.04.2017 12:45","10944","11056"
"11.04.2017 12:45 - 11.04.2017 13:00","10987","11076"
"11.04.2017 13:00 - 11.04.2017 13:15","10939","11061"
"11.04.2017 13:15 - 11.04.2017 13:30","10897","10960"
"11.04.2017 13:30 - 11.04.2017 13:45","10862","10947"
"11.04.2017 13:45 - 11.04.2017 14:00","10785","10833"
"11.04.2017 14:00 - 11.04.2017 14:15","10809","10834"
"11.04.2017 14:15 - 11.04.2017 14:30","10763","10805"
"11.04.2017 14:30 - 11.04.2017 14:45","10727","10721"
"11.04.2017 14:45 - 11.04.2017 15:00","10667","10784"
"11.04.2017 15:00 - 11.04.2017 15:15","10726","10733"
"11.04.2017 15:15 - 11.04.2017 15:30","10679","10713"
"11.04.2017 15:30 - 11.04.2017 15:45","10670","10673"
"11.04.2017 15:45 - 11.04.2017 16:00","10640","10580"
"11.04.2017 16:00 - 11.04.2017 16:15","10614","10630"
"11.04.2017 16:15 - 11.04.2017 16:30","10605","10628"
"11.04.2017 16:30 - 11.04.2017 16:45","10508","10582"
"11.04.2017 16:45 - 11.04.2017 17:00","10517","10645"
"11.04.2017 17:00 - 11.04.2017 17:15","10455","10653"
"11.04.2017 17:15 - 11.04.2017 17:30","10512","10619"
"11.04.2017 17:30 - 11.04.2017 17:45","10579","10698"
"11.04.2017 17:45 - 11.04.2017 18:00","10612","10658"
"11.04.2017 18:00 - 11.04.2017 18:15","10636","10585"
"11.04.2017 18:15 - 11.04.2017 18:30","10666","10593"
"11.04.2017 18:30 - 11.04.2017 18:45","10628","10629"
"11.04.2017 18:45 - 11.04.2017 19:00","10588","10600"
"11.04.2017 19:00 - 11.04.2017 19:15","10588","10452"
"11.04.2017 19:15 - 11.04.2017 19:30","10529","10440"
"11.04.2017 19:30 - 11.04.2017 19:45","10497","10457"
"11.04.2017 19:45 - 11.04.2017 20:00","10503","10376"
"11.04.2017 20:00 - 11.04.2017 20:15","10507","10352"
"11.04.2017 20:15 - 11.04.2017 20:30","10523","10350"
"11.04.2017 20:30 - 11.04.2017 20:45","10678","10446"
"11.04.2017 20:45 - 11.04.2017 21:00","10659","10572"
"11.04.2017 21:00 - 11.04.2017 21:15","10592","10584"
"11.04.2017 21:15 - 11.04.2017 21:30","10489","10528"
"11.04.2017 21:30 - 11.04.2017 21:45","10386","10394"
"11.04.2017 21:45 - 11.04.2017 22:00","10237","10355"
"11.04.2017 22:00 - 11.04.2017 22:15","10198","10441"
"11.04.2017 22:15 - 11.04.2017 22:30","10269","10425"
"11.04.2017 22:30 - 11.04.2017 22:45","10280","10482"
"11.04.2017 22:45 - 11.04.2017 23:00","10198","10364"
"11.04.2017 23:00 - 11.04.2017 23:15","10211","10436"
"11.04.2017 23:15 - 11.04.2017 23:30","10047","10190"
"11.04.2017 23:30 - 11.04.2017 23:45","9840","10043"
"11.04.2017 23:45 - 12.04.2017 00:00","9677","9820"
"12.04.2017 00:00 - 12.04.2017 00:15","9586","9607"
"12.04.2017 00:15 - 12.04.2017 00:30","9396","9356"
"12.04.2017 00:30 - 12.04.2017 00:45","9295","9162"
"12.04.2017 00:45 - 12.04.2017 01:00","9173","9004"
"12.04.2017 01:00 - 12.04.2017 01:15","9043","8904"
"12.04.2017 01:15 - 12.04.2017 01:30","8900","8729"
"12.04.2017 01:30 - 12.04.2017 01:45","8828","8615"
"12.04.2017 01:45 - 12.04.2017 02:00","8712","8532"
"12.04.2017 02:00 - 12.04.2017 02:15","8594","8422"
"12.04.2017 02:15 - 12.04.2017 02:30","8581","8332"
"12.04.2017 02:30 - 12.04.2017 02:45","8514","8287"
"12.04.2017 02:45 - 12.04.2017 03:00","8496","8263"
"12.04.2017 03:00 - 12.04.2017 03:15","8443","8211"
"12.04.2017 03:15 - 12.04.2017 03:30","8367","8257"
"12.04.2017 03:30 - 12.04.2017 03:45","8421","8250"
"12.04.2017 03:45 - 12.04.2017 04:00","8413","8354"
"12.04.2017 04:00 - 12.04.2017 04:15","8421","8434"
"12.04.2017 04:15 - 12.04.2017 04:30","8447","8518"
"12.04.2017 04:30 - 12.04.2017 04:45","8514","8556"
"12.04.2017 04:45 - 12.04.2017 05:00","8637","8594"
"12.04.2017 05:00 - 12.04.2017 05:15","8778","8717"
"12.04.2017 05:15 - 12.04.2017 05:30","8888","8892"
"12.04.2017 05:30 - 12.04.2017 05:45","9078","9027"
"12.04.2017 05:45 - 12.04.2017 06:00","9257","9189"
"12.04.2017 06:00 - 12.04.2017 06:15","9655","9514"
"12.04.2017 06:15 - 12.04.2017 06:30","9905","9798"
"12.04.2017 06:30 - 12.04.2017 06:45","10202","9926"
"12.04.2017 06:45 - 12.04.2017 07:00","10413","10035"
"12.04.2017 07:00 - 12.04.2017 07:15","10359","10129"
"12.04.2017 07:15 - 12.04.2017 07:30","10507","10254"
"12.04.2017 07:30 - 12.04.2017 07:45","10601","10436"
"12.04.2017 07:45 - 12.04.2017 08:00","10692","10465"
"12.04.2017 08:00 - 12.04.2017 08:15","10882","10617"
"12.04.2017 08:15 - 12.04.2017 08:30","11000","10765"
"12.04.2017 08:30 - 12.04.2017 08:45","11079","10905"
"12.04.2017 08:45 - 12.04.2017 09:00","11130","10960"
"12.04.2017 09:00 - 12.04.2017 09:15","11239","10935"
"12.04.2017 09:15 - 12.04.2017 09:30","11297","10954"
"12.04.2017 09:30 - 12.04.2017 09:45","11315","10982"
"12.04.2017 09:45 - 12.04.2017 10:00","11302","10986"
"12.04.2017 10:00 - 12.04.2017 10:15","11315","10894"
"12.04.2017 10:15 - 12.04.2017 10:30","11303","10838"
"12.04.2017 10:30 - 12.04.2017 10:45","11357","10881"
"12.04.2017 10:45 - 12.04.2017 11:00","11366","10922"
"12.04.2017 11:00 - 12.04.2017 11:15","11364","10920"
"12.04.2017 11:15 - 12.04.2017 11:30","11442","10865"
"12.04.2017 11:30 - 12.04.2017 11:45","11425","10990"
"12.04.2017 11:45 - 12.04.2017 12:00","11429","11022"
"12.04.2017 12:00 - 12.04.2017 12:15","11342","10896"
"12.04.2017 12:15 - 12.04.2017 12:30","11230","10737"
"12.04.2017 12:30 - 12.04.2017 12:45","11202","10737"
"12.04.2017 12:45 - 12.04.2017 13:00","11247","10710"
"12.04.2017 13:00 - 12.04.2017 13:15","11176","10651"
"12.04.2017 13:15 - 12.04.2017 13:30","11133","10670"
"12.04.2017 13:30 - 12.04.2017 13:45","11102","10614"
"12.04.2017 13:45 - 12.04.2017 14:00","11021","10641"
"12.04.2017 14:00 - 12.04.2017 14:15","10987","10490"
"12.04.2017 14:15 - 12.04.2017 14:30","10942","10402"
"12.04.2017 14:30 - 12.04.2017 14:45","10907","10396"
"12.04.2017 14:45 - 12.04.2017 15:00","10846","10296"
"12.04.2017 15:00 - 12.04.2017 15:15","10831","10356"
"12.04.2017 15:15 - 12.04.2017 15:30","10783","10387"
"12.04.2017 15:30 - 12.04.2017 15:45","10775","10289"
"12.04.2017 15:45 - 12.04.2017 16:00","10744","10304"
"12.04.2017 16:00 - 12.04.2017 16:15","10707","10331"
"12.04.2017 16:15 - 12.04.2017 16:30","10699","10299"
"12.04.2017 16:30 - 12.04.2017 16:45","10603","10226"
"12.04.2017 16:45 - 12.04.2017 17:00","10611","10247"
"12.04.2017 17:00 - 12.04.2017 17:15","10580","10287"
"12.04.2017 17:15 - 12.04.2017 17:30","10639","10353"
"12.04.2017 17:30 - 12.04.2017 17:45","10702","10428"
"12.04.2017 17:45 - 12.04.2017 18:00","10735","10470"
"12.04.2017 18:00 - 12.04.2017 18:15","10671","10520"
"12.04.2017 18:15 - 12.04.2017 18:30","10701","10539"
"12.04.2017 18:30 - 12.04.2017 18:45","10663","10539"
"12.04.2017 18:45 - 12.04.2017 19:00","10625","10489"
"12.04.2017 19:00 - 12.04.2017 19:15","10584","10504"
"12.04.2017 19:15 - 12.04.2017 19:30","10526","10441"
"12.04.2017 19:30 - 12.04.2017 19:45","10497","10456"
"12.04.2017 19:45 - 12.04.2017 20:00","10499","10423"
"12.04.2017 20:00 - 12.04.2017 20:15","10501","10419"
"12.04.2017 20:15 - 12.04.2017 20:30","10516","10416"
"12.04.2017 20:30 - 12.04.2017 20:45","10670","10483"
"12.04.2017 20:45 - 12.04.2017 21:00","10653","10522"
"12.04.2017 21:00 - 12.04.2017 21:15","10692","10510"
"12.04.2017 21:15 - 12.04.2017 21:30","10587","10416"
"12.04.2017 21:30 - 12.04.2017 21:45","10489","10279"
"12.04.2017 21:45 - 12.04.2017 22:00","10343","10089"
"12.04.2017 22:00 - 12.04.2017 22:15","10298","10172"
"12.04.2017 22:15 - 12.04.2017 22:30","10371","10188"
"12.04.2017 22:30 - 12.04.2017 22:45","10382","10201"
"12.04.2017 22:45 - 12.04.2017 23:00","10300","10136"
"12.04.2017 23:00 - 12.04.2017 23:15","10351","10214"
"12.04.2017 23:15 - 12.04.2017 23:30","10182","10021"
"12.04.2017 23:30 - 12.04.2017 23:45","9973","9753"
"12.04.2017 23:45 - 13.04.2017 00:00","9801","9687"
"13.04.2017 00:00 - 13.04.2017 00:15","9675","9453"
"13.04.2017 00:15 - 13.04.2017 00:30","9472","9220"
"13.04.2017 00:30 - 13.04.2017 00:45","9350","9106"
"13.04.2017 00:45 - 13.04.2017 01:00","9236","8925"
"13.04.2017 01:00 - 13.04.2017 01:15","9113","8803"
"13.04.2017 01:15 - 13.04.2017 01:30","8961","8690"
"13.04.2017 01:30 - 13.04.2017 01:45","8887","8543"
"13.04.2017 01:45 - 13.04.2017 02:00","8784","8489"
"13.04.2017 02:00 - 13.04.2017 02:15","8784","8409"
"13.04.2017 02:15 - 13.04.2017 02:30","8773","8343"
"13.04.2017 02:30 - 13.04.2017 02:45","8720","8398"
"13.04.2017 02:45 - 13.04.2017 03:00","8699","8369"
"13.04.2017 03:00 - 13.04.2017 03:15","8765","8382"
"13.04.2017 03:15 - 13.04.2017 03:30","8687","8377"
"13.04.2017 03:30 - 13.04.2017 03:45","8722","8344"
"13.04.2017 03:45 - 13.04.2017 04:00","8726","8351"
"13.04.2017 04:00 - 13.04.2017 04:15","8758","8449"
"13.04.2017 04:15 - 13.04.2017 04:30","8810","8463"
"13.04.2017 04:30 - 13.04.2017 04:45","8868","8420"
"13.04.2017 04:45 - 13.04.2017 05:00","8971","8624"
"13.04.2017 05:00 - 13.04.2017 05:15","9049","8747"
"13.04.2017 05:15 - 13.04.2017 05:30","9166","8830"
"13.04.2017 05:30 - 13.04.2017 05:45","9352","9009"
"13.04.2017 05:45 - 13.04.2017 06:00","9529","9158"
"13.04.2017 06:00 - 13.04.2017 06:15","9703","9528"
"13.04.2017 06:15 - 13.04.2017 06:30","9960","9721"
"13.04.2017 06:30 - 13.04.2017 06:45","10237","9917"
"13.04.2017 06:45 - 13.04.2017 07:00","10407","9961"
"13.04.2017 07:00 - 13.04.2017 07:15","10401","9979"
"13.04.2017 07:15 - 13.04.2017 07:30","10572","10138"
"13.04.2017 07:30 - 13.04.2017 07:45","10695","10384"
"13.04.2017 07:45 - 13.04.2017 08:00","10793","10456"
"13.04.2017 08:00 - 13.04.2017 08:15","10956","10663"
"13.04.2017 08:15 - 13.04.2017 08:30","11057","10687"
"13.04.2017 08:30 - 13.04.2017 08:45","11163","10829"
"13.04.2017 08:45 - 13.04.2017 09:00","11219","10881"
"13.04.2017 09:00 - 13.04.2017 09:15","11290","10957"
"13.04.2017 09:15 - 13.04.2017 09:30","11354","11051"
"13.04.2017 09:30 - 13.04.2017 09:45","11391","11044"
"13.04.2017 09:45 - 13.04.2017 10:00","11389","11114"
"13.04.2017 10:00 - 13.04.2017 10:15","11384","11110"
"13.04.2017 10:15 - 13.04.2017 10:30","11369","11119"
"13.04.2017 10:30 - 13.04.2017 10:45","11429","11073"
"13.04.2017 10:45 - 13.04.2017 11:00","11426","11079"
"13.04.2017 11:00 - 13.04.2017 11:15","11429","11156"
"13.04.2017 11:15 - 13.04.2017 11:30","11480","11145"
"13.04.2017 11:30 - 13.04.2017 11:45","11484","11206"
"13.04.2017 11:45 - 13.04.2017 12:00","11474","11128"
"13.04.2017 12:00 - 13.04.2017 12:15","11245","11148"
"13.04.2017 12:15 - 13.04.2017 12:30","11137","11057"
"13.04.2017 12:30 - 13.04.2017 12:45","11113","10958"
"13.04.2017 12:45 - 13.04.2017 13:00","11145","10843"
"13.04.2017 13:00 - 13.04.2017 13:15","11161","10824"
"13.04.2017 13:15 - 13.04.2017 13:30","11105","10827"
"13.04.2017 13:30 - 13.04.2017 13:45","11083","10782"
"13.04.2017 13:45 - 13.04.2017 14:00","10994","10763"
"13.04.2017 14:00 - 13.04.2017 14:15","11038","10728"
"13.04.2017 14:15 - 13.04.2017 14:30","10997","10603"
"13.04.2017 14:30 - 13.04.2017 14:45","10954","10596"
"13.04.2017 14:45 - 13.04.2017 15:00","10908","10485"
"13.04.2017 15:00 - 13.04.2017 15:15","10873","10563"
"13.04.2017 15:15 - 13.04.2017 15:30","10829","10541"
"13.04.2017 15:30 - 13.04.2017 15:45","10819","10512"
"13.04.2017 15:45 - 13.04.2017 16:00","10759","10481"
"13.04.2017 16:00 - 13.04.2017 16:15","10732","10503"
"13.04.2017 16:15 - 13.04.2017 16:30","10720","10413"
"13.04.2017 16:30 - 13.04.2017 16:45","10628","10339"
"13.04.2017 16:45 - 13.04.2017 17:00","10651","10315"
"13.04.2017 17:00 - 13.04.2017 17:15","10635","10304"
"13.04.2017 17:15 - 13.04.2017 17:30","10668","10346"
"13.04.2017 17:30 - 13.04.2017 17:45","10732","10385"
"13.04.2017 17:45 - 13.04.2017 18:00","10749","10384"
"13.04.2017 18:00 - 13.04.2017 18:15","10680","10308"
"13.04.2017 18:15 - 13.04.2017 18:30","10706","10281"
"13.04.2017 18:30 - 13.04.2017 18:45","10672","10299"
"13.04.2017 18:45 - 13.04.2017 19:00","10643","10433"
"13.04.2017 19:00 - 13.04.2017 19:15","10658","10363"
"13.04.2017 19:15 - 13.04.2017 19:30","10604","10359"
"13.04.2017 19:30 - 13.04.2017 19:45","10581","10285"
"13.04.2017 19:45 - 13.04.2017 20:00","10564","10320"
"13.04.2017 20:00 - 13.04.2017 20:15","10653","10339"
"13.04.2017 20:15 - 13.04.2017 20:30","10649","10258"
"13.04.2017 20:30 - 13.04.2017 20:45","10799","10261"
"13.04.2017 20:45 - 13.04.2017 21:00","10813","10404"
"13.04.2017 21:00 - 13.04.2017 21:15","10761","10588"
"13.04.2017 21:15 - 13.04.2017 21:30","10672","10490"
"13.04.2017 21:30 - 13.04.2017 21:45","10560","10340"
"13.04.2017 21:45 - 13.04.2017 22:00","10431","10225"
"13.04.2017 22:00 - 13.04.2017 22:15","10379","10315"
"13.04.2017 22:15 - 13.04.2017 22:30","10442","10321"
"13.04.2017 22:30 - 13.04.2017 22:45","10454","10350"
"13.04.2017 22:45 - 13.04.2017 23:00","10363","10370"
"13.04.2017 23:00 - 13.04.2017 23:15","10451","10347"
"13.04.2017 23:15 - 13.04.2017 23:30","10256","10256"
"13.04.2017 23:30 - 13.04.2017 23:45","10050","10038"
"13.04.2017 23:45 - 14.04.2017 00:00","9868","9913"
"14.04.2017 00:00 - 14.04.2017 00:15","9709","9596"
"14.04.2017 00:15 - 14.04.2017 00:30","9500","9403"
"14.04.2017 00:30 - 14.04.2017 00:45","9376","9318"
"14.04.2017 00:45 - 14.04.2017 01:00","9253","9182"
"14.04.2017 01:00 - 14.04.2017 01:15","9190","9167"
"14.04.2017 01:15 - 14.04.2017 01:30","9041","8930"
"14.04.2017 01:30 - 14.04.2017 01:45","8960","8899"
"14.04.2017 01:45 - 14.04.2017 02:00","8858","8737"
"14.04.2017 02:00 - 14.04.2017 02:15","8855","8708"
"14.04.2017 02:15 - 14.04.2017 02:30","8833","8613"
"14.04.2017 02:30 - 14.04.2017 02:45","8789","8585"
"14.04.2017 02:45 - 14.04.2017 03:00","8769","8507"
"14.04.2017 03:00 - 14.04.2017 03:15","8775","8590"
"14.04.2017 03:15 - 14.04.2017 03:30","8714","8506"
"14.04.2017 03:30 - 14.04.2017 03:45","8740","8523"
"14.04.2017 03:45 - 14.04.2017 04:00","8761","8528"
"14.04.2017 04:00 - 14.04.2017 04:15","8685","8547"
"14.04.2017 04:15 - 14.04.2017 04:30","8748","8589"
"14.04.2017 04:30 - 14.04.2017 04:45","8805","8674"
"14.04.2017 04:45 - 14.04.2017 05:00","8893","8812"
"14.04.2017 05:00 - 14.04.2017 05:15","9071","8912"
"14.04.2017 05:15 - 14.04.2017 05:30","9197","9053"
"14.04.2017 05:30 - 14.04.2017 05:45","9377","9182"
"14.04.2017 05:45 - 14.04.2017 06:00","9549","9296"
"14.04.2017 06:00 - 14.04.2017 06:15","9977","9617"
"14.04.2017 06:15 - 14.04.2017 06:30","10244","9899"
"14.04.2017 06:30 - 14.04.2017 06:45","10500","10022"
"14.04.2017 06:45 - 14.04.2017 07:00","10647","10040"
"14.04.2017 07:00 - 14.04.2017 07:15","10616","10078"
"14.04.2017 07:15 - 14.04.2017 07:30","10788","10216"
"14.04.2017 07:30 - 14.04.2017 07:45","10928","10430"
"14.04.2017 07:45 - 14.04.2017 08:00","11016","10375"
"14.04.2017 08:00 - 14.04.2017 08:15","11168","10590"
"14.04.2017 08:15 - 14.04.2017 08:30","11282","10692"
"14.04.2017 08:30 - 14.04.2017 08:45","11399","10857"
"14.04.2017 08:45 - 14.04.2017 09:00","11458","10916"
"14.04.2017 09:00 - 14.04.2017 09:15","11584","10962"
"14.04.2017 09:15 - 14.04.2017 09:30","11639","10991"
"14.04.2017 09:30 - 14.04.2017 09:45","11676","11075"
"14.04.2017 09:45 - 14.04.2017 10:00","11678","11114"
"14.04.2017 10:00 - 14.04.2017 10:15","11576","11109"
"14.04.2017 10:15 - 14.04.2017 10:30","11545","11150"
"14.04.2017 10:30 - 14.04.2017 10:45","11611","11232"
"14.04.2017 10:45 - 14.04.2017 11:00","11618","11192"
"14.04.2017 11:00 - 14.04.2017 11:15","11498","11128"
"14.04.2017 11:15 - 14.04.2017 11:30","11526","11243"
"14.04.2017 11:30 - 14.04.2017 11:45","11547","11290"
"14.04.2017 11:45 - 14.04.2017 12:00","11547","11297"
"14.04.2017 12:00 - 14.04.2017 12:15","11236","11257"
"14.04.2017 12:15 - 14.04.2017 12:30","11116","11139"
"14.04.2017 12:30 - 14.04.2017 12:45","11095","11088"
"14.04.2017 12:45 - 14.04.2017 13:00","11118","11059"
"14.04.2017 13:00 - 14.04.2017 13:15","10986","11050"
"14.04.2017 13:15 - 14.04.2017 13:30","10944","11006"
"14.04.2017 13:30 - 14.04.2017 13:45","10924","11010"
"14.04.2017 13:45 - 14.04.2017 14:00","10858","11003"
"14.04.2017 14:00 - 14.04.2017 14:15","10779","10902"
"14.04.2017 14:15 - 14.04.2017 14:30","10736","10871"
"14.04.2017 14:30 - 14.04.2017 14:45","10692","10790"
"14.04.2017 14:45 - 14.04.2017 15:00","10638","10747"
"14.04.2017 15:00 - 14.04.2017 15:15","10598","10703"
"14.04.2017 15:15 - 14.04.2017 15:30","10575","10570"
"14.04.2017 15:30 - 14.04.2017 15:45","10547","10491"
"14.04.2017 15:45 - 14.04.2017 16:00","10501","10458"
"14.04.2017 16:00 - 14.04.2017 16:15","10447","10408"
"14.04.2017 16:15 - 14.04.2017 16:30","10436","10401"
"14.04.2017 16:30 - 14.04.2017 16:45","10346","10451"
"14.04.2017 16:45 - 14.04.2017 17:00","10369","10430"
"14.04.2017 17:00 - 14.04.2017 17:15","10379","10431"
"14.04.2017 17:15 - 14.04.2017 17:30","10412","10358"
"14.04.2017 17:30 - 14.04.2017 17:45","10484","10394"
"14.04.2017 17:45 - 14.04.2017 18:00","10496","10433"
"14.04.2017 18:00 - 14.04.2017 18:15","10410","10372"
"14.04.2017 18:15 - 14.04.2017 18:30","10434","10328"
"14.04.2017 18:30 - 14.04.2017 18:45","10404","10274"
"14.04.2017 18:45 - 14.04.2017 19:00","10376","10181"
"14.04.2017 19:00 - 14.04.2017 19:15","10351","10125"
"14.04.2017 19:15 - 14.04.2017 19:30","10299","10130"
"14.04.2017 19:30 - 14.04.2017 19:45","10284","10080"
