;Bid;WeekAheadConfidence10;WeekAheadConfidence90;WeekAheadForecast;DayAheadConfidence10;DayAheadConfidence90;DayAheadForecast;MostRecentConfidence10;MostRecentConfidence90;MostRecentForecast;Realtime;LoadFactor;MonitoredCapacity
2017-01-01 04:30:00+01:00;;61.06;612.89;336.84;273.16;658.45;465.72;271.87;665.11;468.38;466.55;0.53;884.55
2017-01-01 04:45:00+01:00;;61.59;614.96;338.14;273.99;663.78;468.8;274.88;669.99;472.33;460.18;0.52;884.55
2017-01-01 05:00:00+01:00;;62.04;617.01;339.39;276.91;667.77;472.25;278.86;675.9;477.27;467.68;0.53;884.55
2017-01-01 05:15:00+01:00;;62.41;619.05;340.6;281.91;670.42;476.08;283.8;682.85;483.23;486.86;0.55;884.55
2017-01-01 05:30:00+01:00;;62.78;621.08;341.81;286.91;673.08;479.91;288.75;689.8;489.17;500.25;0.57;884.55
2017-01-01 05:45:00+01:00;;63.15;623.12;343.01;291.91;675.73;483.74;293.69;696.75;495.13;530.2;0.6;884.55
2017-01-01 06:00:00+01:00;;63.47;625.28;344.25;296.77;679.41;488.02;294.32;689.86;487.77;529.7;0.6;884.55
2017-01-01 06:15:00+01:00;;63.73;627.55;345.53;301.51;684.12;492.74;294.77;693.54;490.67;527.68;0.6;884.55
2017-01-01 06:30:00+01:00;;63.99;629.83;346.8;306.23;688.82;497.47;295.22;697.22;493.57;544.27;0.62;884.55
2017-01-01 06:45:00+01:00;;64.26;632.1;348.07;310.97;693.52;502.19;295.68;700.91;496.47;530.48;0.6;884.55
2017-01-01 07:00:00+01:00;;64.53;634.58;349.43;314.29;699.63;506.91;296.76;704.3;499.27;507.63;0.57;884.55
2017-01-01 07:15:00+01:00;;64.82;637.27;350.88;316.21;707.13;511.63;298.48;707.39;501.98;497.29;0.56;884.55
2017-01-01 07:30:00+01:00;;65.11;639.96;352.34;318.12;714.63;516.35;300.2;710.49;504.7;473.75;0.54;884.55
2017-01-01 07:45:00+01:00;;65.4;642.65;353.79;320.03;722.13;521.07;301.92;713.59;507.41;456.49;0.52;884.55
2017-01-01 08:00:00+01:00;;65.76;645.45;355.31;323.45;728.57;526.01;304.25;716.12;510.0;411.95;0.47;884.55
2017-01-01 08:15:00+01:00;;66.17;648.38;356.89;328.38;733.97;531.17;307.21;718.08;512.49;386.64;0.44;884.55
2017-01-01 08:30:00+01:00;;66.58;651.3;358.48;333.31;739.36;536.33;310.17;720.05;514.98;435.31;0.49;884.55
2017-01-01 08:45:00+01:00;;67.0;654.23;360.06;338.24;744.75;541.5;313.12;722.01;517.46;505.42;0.57;884.55
2017-01-01 09:00:00+01:00;;67.51;657.14;361.66;342.23;748.63;545.46;315.78;723.8;519.71;470.26;0.53;884.55
