data_interpolated_PV_LF;corr_data_interpolated_PV_LF_data_interpolated_Wind_LF;corr_data_interpolated_PV_LF_data_interpolated_load;corr_data_interpolated_Wind_LF_data_interpolated_load;data_interpolated_Wind_LF;data_interpolated_load
0.0;1.124584023514658;0.01641331684590332;0.014086837778925138;0.05;9805.0
0.0;1.124584023514658;0.0639200541754249;0.054859809412261484;0.05;9445.0
0.0;1.0131471816559772;0.12053224949310491;0.09319681127798357;0.08;9016.0
0.0;0.8645647258444028;0.1525992971905321;0.10068743944002999;0.12;8773.0
0.0;0.9017103397972964;0.1482445129353261;0.10201661941276313;0.11;8806.0
0.0;0.6788366560799346;0.09387569132487344;0.048634413673685054;0.17;9218.0
0.0;0.6416910421270412;-0.06342439449954287;-0.03106043667874358;0.18;10410.0
0.0;0.49310858631546656;-0.21359846972453095;-0.08038332240483517;0.22;11548.0
0.48;-0.02574461910579579;-0.2959107195671345;0.0063616896109933325;0.36;12275.0
2.95;-0.1551290032408789;-0.23195980538200206;0.051607016982476835;0.41;12339.0
13.45;0.06697546239395233;0.07695977699775292;0.07220772966453588;0.43;12428.0
15.96;0.3913231710393643;0.16227532501746098;0.2255093028919367;0.58;12582.0
10.23;-0.02235299301154294;-0.020680559367926413;0.09213927748848494;0.45;12462.0
6.19;-0.44526940600130094;-0.14683901339049632;0.2669325716398359;0.63;12503.0
3.31;-0.8983544453233836;-0.22725243426874406;0.3212072108446961;0.7;12402.0
0.67;-1.5243994599483421;-0.2932423181190124;0.3872821908936242;0.79;12297.0
0.0;-1.7727738648110434;-0.3001663021916595;0.40610704758945754;0.83;12204.0
0.0;-1.7727738648110434;-0.3690510713194658;0.49930401876882974;0.83;12726.0
0.0;-1.847065092716831;-0.41154320859753807;0.580126748920469;0.85;13048.0
0.0;-1.9956475485284053;-0.35268763957263044;0.5371546419509813;0.89;12602.0
0.0;-2.0699387764341926;-0.26493213867226395;0.41852113689111753;0.91;11937.0
0.0;-2.0699387764341926;-0.18153142202710376;0.2867705575812747;0.91;11305.0
0.0;-1.9956475485284053;-0.16569584291726325;0.2523601090268987;0.89;11185.0
0.0;-0.39838614855398014;-0.20132589591440442;0.061210950191874246;0.46;11455.0
0.0;1.2731664793262325;-0.07002255246197651;-0.06803750575814918;0.01;10460.0
0.0;1.3103120932791261;0.009815158883469684;0.009815158883469684;0.0;9855.0
0.0;1.2731664793262325;0.07619262798555143;0.07403266780528252;0.01;9352.0
0.0;1.2731664793262325;0.10957930727546525;0.10647287891678807;0.01;9099.0
0.0;1.1988752514204453;0.12119206528934848;0.11088516124454309;0.03;9011.0
0.0;1.2731664793262325;0.12396329163357044;0.12044909635217982;0.01;8990.0
0.0;1.2731664793262325;0.10166151772054499;0.09877954821840731;0.01;9159.0
0.51;1.1428056247483056;0.06319485341598996;0.06065723121311761;0.03;9427.0
5.96;0.5267865170131922;0.004869556625695341;0.009521166466707805;0.04;9848.0
12.5;-0.16451243612432928;0.009625669471560945;-0.05647305479765433;0.05;10428.0
21.55;-1.134079799745778;0.1187255178247179;-0.10782906671910111;0.04;10851.0
28.23;-1.845727458241604;0.22782096795521012;-0.12713394057319738;0.04;11016.0
22.08;-1.038275263754357;0.15763418222133693;-0.11893460176725229;0.08;11095.0
26.77;-1.3659312239571408;0.19729494398485936;-0.0971651002869368;0.1;10957.0
26.81;-1.4777330611633646;0.13504525754777283;-0.07159021713377973;0.08;10631.0
16.68;-0.49722361756689176;0.044911862159288156;-0.06076206060415015;0.1;10572.0
5.03;0.48578198519099014;-0.03942976007399141;-0.050366535573070144;0.11;10484.0
0.0;1.124584023514658;-0.07873212097238881;-0.06757236374228485;0.05;10526.0
0.0;1.0131471816559772;-0.18892135894502943;-0.14607599468213117;0.08;11361.0
0.0;1.0131471816559772;-0.17612093249790803;-0.13617856944625414;0.08;11264.0
0.0;0.8645647258444028;-0.09813070538194357;-0.06474819764743253;0.12;10673.0
0.0;0.49310858631546656;-0.02766237834315298;-0.010410158273651831;0.22;10139.0
0.0;0.6045454281741476;-0.013938209781291106;-0.006430743517847343;0.19;10035.0
0.0;0.047361218880743135;-0.06144494711081294;-0.002220927063222165;0.34;10395.0
0.0;-0.6955510601771291;0.056266190939002064;-0.029867700191800645;0.54;9503.0
0.0;-0.6955510601771291;0.10971127043471397;-0.05823787390473951;0.54;9098.0
0.0;-0.6955510601771291;0.17107413948534625;-0.0908110363158916;0.54;8633.0
0.0;-0.9184247438944906;0.21185075569318562;-0.14849055964556432;0.6;8324.0
0.0;-1.0298615857531717;0.1900768344171549;-0.14939404979306284;0.63;8489.0
0.0;-0.24980369274240583;0.12185188108559179;-0.02323038153957199;0.42;9006.0
0.0;-0.36124053460108657;-0.007603978137354896;0.002096344177484373;0.45;9987.0
0.69;-1.1038779209748357;-0.16683106718673077;0.160176596518;0.67;11279.0
4.62;-0.6363588081312089;-0.13572873996147444;0.1984510381978882;0.65;11714.0
9.52;-0.11191146969260261;-0.03409553811767028;0.18058229645199764;0.59;11964.0
8.27;0.02939321137593586;-0.06904965989156413;-0.026532700408628398;0.32;12095.0
12.33;-0.06444823654482192;0.032901333096743784;-0.09473551859639795;0.22;11837.0
16.43;-0.2310273715453826;0.12166558219708416;-0.08355812854837186;0.23;11749.0
14.05;-0.09937063853980004;0.06975277799606269;-0.0635876846446454;0.26;11762.0
16.95;-0.005663180671089493;0.12814138620863189;-0.0018021147003829264;0.35;11681.0
17.55;0.0390468813721689;0.135632564972192;0.010884000353301388;0.37;11616.0
