"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","31.05.2018 11:00 - 31.05.2018 12:00 (CET)","419","n/e","n/e","2569","0","0","n/e","n/e","n/e","5","","8","n/e","n/e","2978","599","n/e","1155","143","47","30"
"BZN|BE","31.05.2018 12:00 - 31.05.2018 13:00 (CET)","413","n/e","n/e","2485","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2973","512","n/e","1825","144","115","29"
"BZN|BE","31.05.2018 13:00 - 31.05.2018 14:00 (CET)","408","n/e","n/e","2446","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2971","468","n/e","1969","146","33","28"
"BZN|BE","31.05.2018 14:00 - 31.05.2018 15:00 (CET)","402","n/e","n/e","2520","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2968","494","n/e","1993","143","","30"
"BZN|BE","31.05.2018 15:00 - 31.05.2018 16:00 (CET)","404","n/e","n/e","2472","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2967","486","n/e","1875","141","2","26"
"BZN|BE","31.05.2018 16:00 - 31.05.2018 17:00 (CET)","408","n/e","n/e","2484","0","2","n/e","n/e","n/e","53","","5","n/e","n/e","2964","492","n/e","1534","139","2","28"
"BZN|BE","31.05.2018 17:00 - 31.05.2018 18:00 (CET)","402","n/e","n/e","2541","0","6","n/e","n/e","n/e","16","","3","n/e","n/e","2970","518","n/e","1234","137","10","42"
"BZN|BE","31.05.2018 18:00 - 31.05.2018 19:00 (CET)","406","n/e","n/e","2636","0","0","n/e","n/e","n/e","70","","3","n/e","n/e","2969","483","n/e","851","144","18","39"
"BZN|BE","31.05.2018 19:00 - 31.05.2018 20:00 (CET)","405","n/e","n/e","2705","0","0","n/e","n/e","n/e","232","","4","n/e","n/e","2967","542","n/e","464","147","57","37"
"BZN|BE","31.05.2018 20:00 - 31.05.2018 21:00 (CET)","407","n/e","n/e","2797","0","0","n/e","n/e","n/e","169","","4","n/e","n/e","2965","558","n/e","165","149","105","31"
"BZN|BE","31.05.2018 21:00 - 31.05.2018 22:00 (CET)","409","n/e","n/e","2760","0","0","n/e","n/e","n/e","29","","4","n/e","n/e","2964","503","n/e","14","149","137","24"
"BZN|BE","31.05.2018 22:00 - 31.05.2018 23:00 (CET)","408","n/e","n/e","2724","0","0","n/e","n/e","n/e","83","","4","n/e","n/e","2964","414","n/e","0","148","24","46"
"BZN|BE","31.05.2018 23:00 - 01.06.2018 00:00 (CET)","411","n/e","n/e","2648","0","0","n/e","n/e","n/e","237","","5","n/e","n/e","2965","461","n/e","0","152","9","46"
"BZN|BE","01.06.2018 00:00 - 01.06.2018 01:00 (CET)","410","n/e","n/e","2702","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2967","420","n/e","0","153","","48"
"BZN|BE","01.06.2018 01:00 - 01.06.2018 02:00 (CET)","408","n/e","n/e","2712","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2968","320","n/e","0","156","","111"
"BZN|BE","01.06.2018 02:00 - 01.06.2018 03:00 (CET)","408","n/e","n/e","2679","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2970","317","n/e","0","157","","114"
"BZN|BE","01.06.2018 03:00 - 01.06.2018 04:00 (CET)","408","n/e","n/e","2750","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2969","342","n/e","0","157","","91"
"BZN|BE","01.06.2018 04:00 - 01.06.2018 05:00 (CET)","408","n/e","n/e","2656","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2971","382","n/e","0","166","","94"
