Timestep,Load,LFS,LFW,ResidualLoad
1,8683,0,0.5477513895907024,7599
2,8353,0,0.5563415866599293,7252
3,7914,0,0.5603840323395655,6805
4,7606,0,0.5184436584133401,6580
5,7407,0,0.5027791814047499,6412
6,7335,0,0.46993431025770593,6405
7,7453,0,0.4386053562405255,6585
8,7283,0,0.40373926225366347,6484
9,7262,0,0.3971702880242547,6476
10,7441,0.026714158504007122,0.41889843355229917,6522
11,7633,0.08696942712971208,0.3688731682668014,6610
12,8027,0.12941525675274562,0.3436078827690753,6911
13,8497,0.07183140397744138,0.314300151591713,7633
14,8829,0.04125853368952211,0.27286508337544213,8150
15,8772,0.018699910952804988,0.21071248105103588,8292
16,8905,0.00771742356782428,0.1910055583628095,8501
17,8940,0.0005936479667557139,0.13340070742799393,8674
18,9160,0,0.09297625063163213,8976
19,9372,0,0.1328954017180394,9109
20,9225,0,0.27741283476503287,8676
21,8915,0,0.30874178878221326,8304
22,8875,0,0.32491157150075795,8232
23,8821,0,0.3122789287518949,8203
24,9272,0,0.348155634158666,8583
25,8826,0,0.3501768569984841,8133
26,8278,0,0.3532086912582112,7579
27,7717,0,0.3870641738251642,6951
28,7520,0,0.3996968165740273,6729
29,7527,0,0.3815058110156645,6772
30,7878,0,0.34765032844871147,7190
31,8468,0,0.28650833754421423,7901
32,9278,0,0.2334512379989894,8816
33,9939,0,0.1889843355229914,9565
34,10607,0.01751261501929356,0.15664477008590197,10238
35,10690,0.0730186999109528,0.13087417887822134,10185
36,11030,0.0964677945978035,0.08489135927235977,10537
37,11180,0.07895517957850995,0.0944921677614957,10727
38,11084,0.06173938854259424,0.11318847902981304,10652
39,10960,0.03829029385574354,0.12278928751894896,10588
40,11044,0.01751261501929356,0.23092470944921678,10528
41,10850,0.0011872959335114278,0.25063163213744316,10350
42,11114,0,0.31531076301162203,10490
43,11424,0,0.44871147043961596,10536
44,11074,0,0.506821627084386,10071
45,10640,0,0.4987367357251137,9653
46,10112,0,0.43658413340070745,9248
47,9939,0,0.4562910560889338,9036
48,10008,0,0.49570490146538654,9027
49,9475,0,0.5411824153612936,8404
50,8900,0,0.5886811520970187,7735
51,8548,0,0.6230419403739262,7315
52,7976,0,0.5927235977766548,6803
53,8314,0,0.5684689236988378,7189
54,8424,0,0.4532592218292067,7527
55,8751,0,0.46235472460838806,7836
56,9803,0,0.471955533097524,8869
57,10550,0,0.4962102071753411,9568
58,10982,0.0192935589195607,0.482566953006569,9962
59,11091,0.06559810032650638,0.5356240525517938,9810
60,11245,0.0599584446423271,0.5351187468418394,9984
61,11355,0.06441080439299496,0.5229914098029308,10103
62,11343,0.046601365390323536,0.5467407781707934,10104
63,11302,0.029682398337785694,0.5679636179888833,10078
64,11276,0.013357079252003561,0.5886811520970187,10066
